Rank,Model,Modality,Micro_F1,Macro_F1,Sample_F1,Micro_Precision,Micro_Recall,Hamming_Loss
1,Learned Late Fusion (MLP),Multimodal,0.5412,0.4128,0.5342,0.5623,0.5213,0.0312
2,Late Fusion (Probability Averaging),Multimodal,0.5187,0.3892,0.5118,0.5358,0.5026,0.0356
3,Early Fusion (Concatenation),Multimodal,0.5034,0.3745,0.4967,0.5214,0.4872,0.0382
4,Fine-Tuned ResNet-50,Image,0.4621,0.3287,0.4549,0.4793,0.4463,0.0434
5,Fine-Tuned DistilBERT,Text,0.4598,0.3312,0.4528,0.4756,0.4456,0.0438
6,ResNet-50 Features + Logistic Regression,Image,0.4287,0.3124,0.4215,0.4431,0.4155,0.0496
7,TF-IDF + Linear SVC,Text,0.4263,0.2956,0.4201,0.4398,0.4144,0.0498
8,TF-IDF + Logistic Regression,Text,0.4152,0.2847,0.4098,0.4298,0.4019,0.0512
